01bux042025,1,Mint,Partial shade. water daily
02bux092024,1,Rosemary,Sow in spring. supports trellis
01col012024,6,Parsley,Keep soil moist. grow in spring
01mun112024,4,Spinach,Sow in cool season. light soil
02col042024,6,Chilli,Plant in warm season. high sunlight
01har052024,2,Coriander,Partial shade. needs rich soil
01stu112024,8,Lettuce,Partial shade. needs rich soil
01dre022024,9,Parsley,Full sun. moderate watering
02stu122025,8,Spinach,Sow in sunny place. water moderately
01ham122024,3,Okra,Keep soil moist. grow in spring
02mun082025,4,Lettuce,Sow in sunny place. water moderately
01ber032025,5,Rosemary,Sow in spring. supports trellis
01fra032025,7,Mint,Sow in cool season. light soil
02dre112025,9,Coriander,Sow in spring. supports trellis
03stu082024,8,Coriander,Plant in warm season. high sunlight
03bux072025,1,Lettuce,Full sun. moderate watering
01lei092025,10,Spinach,Sow in sunny place. water moderately
02lei072025,10,Mint,Keep soil moist. grow in spring
03col072024,6,Parsley,Sow in sunny place. water moderately
03lei062024,10,Okra,Sow in cool season. light soil
03dre122024,9,Chilli,Partial shade. water daily
04stu052025,8,Mint,Full sun. moderate watering
02ham102025,3,Parsley,Partial shade. water daily
04dre042025,9,Tomato,Sow in spring. prune regularly
03mun072024,4,Lettuce,Sow in sunny place. water moderately
05dre072025,9,Lettuce,Partial shade. needs rich soil
06dre052025,9,Rosemary,Needs regular watering. fertile soil
04bux062024,1,Chilli,Sow in sunny place. water moderately
04col082025,6,Basil,Partial shade. needs rich soil
05col102025,6,Spinach,Keep soil moist. grow in spring
02har062025,2,Rosemary,Partial shade. needs rich soil
03ham112024,3,Rosemary,Full sun. moderate watering
07dre112025,9,Okra,Sow in spring. prune regularly
05bux092024,1,Tomato,Needs regular watering. fertile soil
04mun112025,4,Rosemary,Plant in warm season. high sunlight
08dre112025,9,Rosemary,Sow in spring. prune regularly
03har102025,2,Lettuce,Plant in warm season. high sunlight
09dre102024,9,Spinach,Keep soil moist. grow in spring
04ham042024,3,Mint,Keep soil moist. grow in spring
02fra052024,7,Mint,Partial shade. water daily
02ber082024,5,Spinach,Needs regular watering. fertile soil
05mun042024,4,Tomato,Partial shade. water daily
06mun062025,4,Parsley,Plant in warm season. high sunlight
07mun102025,4,Rosemary,Sow in cool season. light soil
08mun042024,4,Parsley,Plant in warm season. high sunlight
03fra092024,7,Rosemary,Plant in warm season. high sunlight
04har022025,2,Mint,Sow in spring. prune regularly
05ham032025,3,Rosemary,Sow in sunny place. water moderately
10dre032024,9,Spinach,Keep soil moist. grow in spring
06ham092025,3,Tomato,Sow in sunny place. water moderately
